term_str,x,y,n,max_pos,logn
store,-22.213217,12.411067,65.0,NN,4.174387269895637
stories,21.821426,1.1455897,140.0,NNS,4.941642422609304
storm,-38.471294,10.259596,201.0,NN,5.303304908059076
story,30.214314,-30.98581,252.0,NN,5.529429087511423
straight,-33.886154,26.230839,243.0,RB,5.493061443340548
strange,19.79449,-7.9750247,421.0,JJ,6.042632833682381
stranger,32.055325,-32.170055,309.0,NN,5.733341276897746
strangers,-4.2933564,1.1796775,102.0,NNS,4.624972813284271
stream,-44.1557,14.342961,221.0,NN,5.3981627015177525
street,-39.456192,20.658754,223.0,NN,5.407171771460119
streets,-37.35315,14.873461,152.0,NNS,5.0238805208462765
strength,21.625452,-30.972692,453.0,NN,6.115892125483034
stretched,-13.462376,45.293102,124.0,VBD,4.820281565605037
strike,58.702667,-6.3664637,152.0,VB,5.0238805208462765
string,0.6670103,-19.636435,88.0,NN,4.477336814478207
strong,-24.562817,1.9395026,795.0,JJ,6.678342114654332
struck,4.593626,42.052452,319.0,VBD,5.765191102784844
subject,14.211591,-17.802402,180.0,NN,5.19295685089021
success,11.867036,-25.024649,65.0,NN,4.174387269895637
sudden,-30.529604,3.1062524,311.0,JJ,5.739792912179234
suddenly,-15.510221,32.15768,605.0,RB,6.405228458030842
suffer,51.884804,5.4177485,120.0,VB,4.787491742782046
suffered,20.439646,41.792934,83.0,VBN,4.418840607796598
suit,49.236042,0.23908761,110.0,NN,4.700480365792417
suitors,-9.977268,-28.385538,253.0,NNS,5.53338948872752
summer,-34.34866,-41.910995,364.0,NN,5.8971538676367405
sun,-49.816517,10.264144,632.0,NN,6.448889394146858
sunk,-35.89526,7.7138247,85.0,NN,4.442651256490317
superior,0.5436067,-34.816025,69.0,JJ,4.23410650459726
supper,-12.429997,13.207042,215.0,NN,5.3706380281276624
suppose,50.14001,14.016805,348.0,VBP,5.8522024797744745
sure,27.20697,14.256788,641.0,JJ,6.46302945692067
surely,46.214504,9.93519,231.0,RB,5.442417710521793
surprise,11.193655,-28.248728,180.0,NN,5.19295685089021
surprised,21.09459,21.001263,139.0,JJ,4.9344739331306915
swear,51.46067,7.2864966,231.0,VBP,5.442417710521793
sweet,-25.630766,2.1645582,635.0,JJ,6.453624998892692
swift,-38.11747,0.9003305,229.0,NN,5.43372200355424
swineherd,9.548789,-0.88795906,59.0,NN,4.07753744390572
sword,-35.06072,-23.538076,1165.0,NN,7.060476365999801
table,-46.34808,17.640894,775.0,NN,6.652863029353347
taken,17.10496,47.819275,756.0,VBN,6.628041376179533
taking,-20.446112,19.20323,379.0,VBG,5.937536205082426
tale,30.321169,-31.233046,220.0,NN,5.393627546352362
tales,-5.742969,-25.87636,129.0,NNS,4.859812404361672
talk,58.56668,8.416439,560.0,VB,6.327936783729195
talked,11.279556,46.887592,128.0,VBD,4.852030263919617
talking,21.103134,1.6591066,249.0,VBG,5.517452896464707
tall,-54.251144,8.292684,460.0,JJ,6.131226489483141
