term_str,x,y,n,max_pos,logn
servants,4.12845,-54.023457,281.0,NNS,5.638354669333745
serve,-65.5803,1.3116854,235.0,VB,5.459585514144159
served,-9.482024,59.65284,201.0,VBD,5.303304908059076
service,-20.45128,-45.8665,179.0,NN,5.187385805840755
serving,-10.78818,4.2394447,125.0,VBG,4.8283137373023015
set,22.668243,59.462563,846.0,VBN,6.740519359606223
setting,32.804783,39.469563,87.0,VBG,4.465908118654584
settle,-60.11321,-10.966729,82.0,VB,4.406719247264253
settled,-4.1778746,68.61039,130.0,VBN,4.867534450455582
seven,14.066104,-71.68198,533.0,CD,6.278521424165844
sewn,21.555803,2.1907473,65.0,NN,4.174387269895637
shade,34.049625,-9.912165,147.0,NN,4.990432586778736
shades,47.5565,-0.599247,86.0,NNS,4.454347296253507
shadow,36.24429,-9.4669285,473.0,NN,6.159095388491933
shadows,46.1681,3.8771286,240.0,NNS,5.480638923341991
shaft,43.626472,-18.142147,97.0,NN,4.574710978503383
shaggy,25.061886,3.7398694,77.0,JJ,4.343805421853684
shake,15.05549,35.11829,134.0,VB,4.897839799950911
shaking,13.952374,47.61464,151.0,VBG,5.017279836814924
shall,-38.8992,54.82844,2188.0,MD,7.690743163541872
shame,-38.353825,-30.077902,180.0,NN,5.19295685089021
shant,-36.97833,53.10321,52.0,VBP,3.9512437185814275
shape,34.100983,-9.018304,168.0,NN,5.123963979403259
shaped,23.95065,2.053051,68.0,VBD,4.219507705176107
shapes,11.059751,-41.001373,64.0,NNS,4.1588830833596715
share,-29.835957,-43.490017,180.0,NN,5.19295685089021
shared,-0.084551126,64.67098,99.0,VBD,4.59511985013459
sharp,7.8986793,7.3105025,294.0,JJ,5.683579767338681
sharply,-2.8723786,30.77841,117.0,NN,4.762173934797756
shattered,39.283657,-8.030496,76.0,JJ,4.330733340286331
shed,-48.847416,39.560635,355.0,NN,5.872117789475416
sheep,6.186671,-45.065434,172.0,NN,5.147494476813453
shell,-41.4162,52.290684,99.0,NN,4.59511985013459
shelter,55.826244,-17.420431,92.0,NN,4.5217885770490405
shes,-35.494854,41.34811,258.0,NN,5.552959584921617
shield,37.41052,-30.36787,347.0,NN,5.849324779946859
shields,17.5424,-40.88945,109.0,NNS,4.6913478822291435
shifted,18.58185,50.735157,61.0,VBD,4.110873864173311
shine,31.90172,-15.3259535,70.0,VB,4.248495242049359
shining,25.387493,12.580445,209.0,VBG,5.342334251964811
ship,39.395485,-49.521233,480.0,NN,6.173786103901937
ships,4.327271,-42.30211,405.0,NNS,6.003887067106539
shirt,38.8175,-25.55416,81.0,NN,4.394449154672439
shivered,12.128392,55.060436,52.0,VBD,3.9512437185814275
shivering,5.8713765,33.14281,74.0,NN,4.30406509320417
shock,15.031222,-14.286336,61.0,NN,4.110873864173311
shocked,-10.94949,26.790764,63.0,JJ,4.143134726391533
shoes,45.82488,-31.836222,65.0,NNS,4.174387269895637
shone,29.811659,14.093584,160.0,NN,5.075173815233827
shook,15.154985,49.965866,370.0,VBD,5.91350300563827
shop,49.517437,-12.572861,80.0,NN,4.382026634673881
shore,57.372826,-1.2881895,363.0,NN,5.8944028342648505
shores,5.906517,-39.803566,70.0,NNS,4.248495242049359
short,5.4509788,-3.8644724,508.0,JJ,6.230481447578482
shot,31.786505,46.24705,125.0,NN,4.8283137373023015
shoulder,39.571735,-40.71666,468.0,NN,6.148468295917647
shoulders,43.237617,-35.77435,321.0,NN,5.771441123130016
shouldnt,-37.01503,53.180965,122.0,NN,4.804021044733257
shout,-55.999134,-14.946833,151.0,NN,5.017279836814924
shouted,19.020422,60.333683,328.0,VBD,5.793013608384144
shouting,35.38988,34.5626,169.0,VBG,5.1298987149230735
shouts,20.821962,-10.674971,103.0,NNS,4.634728988229636
shoved,22.910383,52.91993,99.0,VBD,4.59511985013459
showed,-6.1313276,49.574745,234.0,VBD,5.455321115357702
showing,-4.5624976,43.74722,90.0,VBG,4.499809670330265
shown,-9.740094,62.71466,71.0,VBN,4.2626798770413155
shrugged,14.407225,57.6562,107.0,NN,4.672828834461906
shuddered,11.98148,57.81339,54.0,VBD,3.9889840465642745
shut,24.633478,46.85179,308.0,VBD,5.730099782973574
shy,-10.869269,17.012568,54.0,JJ,3.9889840465642745
sick,-19.891073,15.685966,176.0,JJ,5.170483995038151
sides,17.825148,-42.67385,135.0,NNS,4.90527477843843
siege,55.267372,-16.583086,55.0,NN,4.007333185232471
sigh,16.586926,-17.88996,78.0,NN,4.356708826689592
sighed,12.992368,61.134235,169.0,VBD,5.1298987149230735
sight,-20.264633,-40.01255,510.0,NN,6.234410725718371
sigil,-9.716057,-31.253235,65.0,NN,4.174387269895637
sign,-30.661442,-24.379045,196.0,NN,5.278114659230517
signs,-16.896524,-27.293999,59.0,NNS,4.07753744390572
silence,10.158508,-20.627329,438.0,NN,6.082218910376446
silent,6.682188,17.546421,375.0,JJ,5.926926025970411
silently,6.693403,32.67353,75.0,RB,4.31748811353631
silk,26.140799,-0.9266349,212.0,NN,5.356586274672012
silly,-25.737581,7.254343,74.0,JJ,4.30406509320417
silver,23.764154,-3.2247531,607.0,NN,6.408528791059498
simple,-12.919009,11.754268,88.0,JJ,4.477336814478207
simply,-35.712475,20.510063,57.0,RB,4.04305126783455
sing,-64.738045,2.493861,192.0,VBG,5.2574953720277815
singer,-13.814752,-18.824419,113.0,NN,4.727387818712341
singers,-3.4195948,-50.45322,70.0,NNS,4.248495242049359
singing,23.124994,22.778915,167.0,VBG,5.117993812416755
single,23.048916,-16.059473,220.0,JJ,5.393627546352362
sinking,28.283134,23.031004,58.0,NN,4.060443010546419
sir,-28.923012,6.3183923,807.0,NN,6.693323668269949
sire,-19.450344,-53.144188,167.0,NN,5.117993812416755
sister,-26.341225,-56.146854,738.0,NN,6.6039438246004725
sisters,-16.878075,-54.345043,257.0,NN,5.54907608489522
sit,-76.06354,-1.4682963,412.0,VB,6.021023349349527
sits,3.0678365,43.10716,53.0,VBZ,3.970291913552122
sitting,19.865196,28.859129,325.0,VBG,5.783825182329737
sixteen,13.618994,-70.3109,54.0,JJ,3.9889840465642745
size,7.6205354,-30.365313,113.0,NN,4.727387818712341
skies,47.75468,-0.6119944,171.0,NN,5.14166355650266
skill,-14.879984,-41.489063,69.0,NN,4.23410650459726
skin,42.838688,-33.0273,338.0,NN,5.823045895483019
skins,11.733034,-35.82465,55.0,NNS,4.007333185232471
skirts,41.345425,-28.66123,53.0,NNS,3.970291913552122
skull,32.850853,-32.84128,69.0,NN,4.23410650459726
sky,41.174236,2.6897728,478.0,NN,6.169610732491456
slain,-11.608284,0.23923062,274.0,NN,5.6131281063880705
slammed,25.250113,51.415535,74.0,VBD,4.30406509320417
slapped,14.179465,50.865364,51.0,VBD,3.9318256327243257
slashed,25.819246,34.72808,53.0,VBD,3.970291913552122
slaughter,30.52848,-14.274706,78.0,NN,4.356708826689592
slave,-21.963867,-16.525335,113.0,NN,4.727387818712341
slaves,4.1661234,-48.12442,107.0,NNS,4.672828834461906
sleep,-73.03114,-3.5566397,701.0,VB,6.55250788703459
sleeping,17.960037,28.653757,138.0,VBG,4.927253685157205
sleeve,40.27619,-36.01281,84.0,NN,4.430816798843313
slender,17.650848,5.880291,85.0,NN,4.442651256490317
slept,4.466311,68.69455,182.0,VBD,5.204006687076795
slew,-10.705325,48.265446,107.0,VBD,4.672828834461906
slid,24.177069,49.80352,171.0,VBD,5.14166355650266
slight,-1.6548456,2.766164,84.0,JJ,4.430816798843313
slightly,-5.252821,31.042234,129.0,NNP,4.859812404361672
slip,-60.657475,-11.288702,84.0,VB,4.430816798843313
slipped,25.724945,53.4501,154.0,VBD,5.0369526024136295
slope,36.058365,30.835335,65.0,NN,4.174387269895637
slow,30.918453,7.664829,251.0,JJ,5.5254529391317835
slowly,7.3344464,34.60667,354.0,RB,5.869296913133774
small,0.19381751,8.795228,914.0,JJ,6.81783057145415
smaller,-34.390255,-5.4039116,88.0,JJR,4.477336814478207
smallfolk,0.90132314,-50.832165,56.0,NN,4.02535169073515
smashed,25.815807,39.230625,77.0,VBD,4.343805421853684
smell,-49.67559,-19.623884,249.0,NN,5.517452896464707
smelled,6.323911,48.211502,91.0,VBD,4.51085950651685
smells,14.124007,4.4857235,55.0,NNS,4.007333185232471
smile,14.024425,-20.41469,537.0,NN,6.285998094508865
