term_str,x,y,n,max_pos,logn
throat,-55.287346,13.27765,416.0,NN,6.030685260261263
throne,-10.848711,24.294353,320.0,NN,5.768320995793772
throw,59.57786,10.046892,138.0,VB,4.927253685157205
thrust,-20.526478,-44.993183,188.0,NN,5.236441962829949
tight,-24.20077,-36.34903,165.0,JJ,5.10594547390058
till,31.326073,2.3874204,817.0,NN,6.705639094860003
time,-5.906279,8.18067,3122.0,NN,8.046229101075378
times,-9.275558,48.805943,551.0,NNS,6.311734809152915
tiny,-41.873703,-3.928205,73.0,JJ,4.290459441148391
tired,10.544975,-9.820309,239.0,JJ,5.476463551931511
today,24.721134,1.1393734,139.0,NN,4.9344739331306915
told,18.356789,-51.558365,2160.0,VBD,7.67786350067821
tone,13.1780205,19.863832,204.0,NN,5.318119993844216
tongue,19.604753,38.702778,390.0,NN,5.966146739123692
tonight,29.93522,1.0275847,159.0,NN,5.0689042022202315
took,-19.31503,-49.351135,2117.0,VBD,7.6577552711348655
torch,-38.211464,19.19751,146.0,NN,4.983606621708336
torches,-16.520824,32.02424,116.0,NNS,4.7535901911063645
torn,-33.187767,-15.966283,137.0,VBN,4.919980925828125
tossed,-18.28251,-46.28943,113.0,VBD,4.727387818712341
touch,57.222866,11.892057,241.0,NN,5.484796933490655
touched,-24.74117,-49.782173,284.0,VBD,5.648974238161206
tourney,4.7698593,22.275831,125.0,NN,4.8283137373023015
tower,-28.966076,16.887672,486.0,NNP,6.186208623900494
towers,-15.543045,32.104183,234.0,NNS,5.455321115357702
town,-21.106638,3.5870318,337.0,NN,5.820082930352362
traitor,19.716812,14.947298,80.0,NN,4.382026634673881
traitors,20.905355,8.256927,65.0,NNS,4.174387269895637
treason,23.189081,7.7090216,69.0,NN,4.23410650459726
tree,-31.405712,9.37794,442.0,NN,6.091309882077698
trees,-23.418423,26.000992,681.0,NNS,6.523562306149512
trial,31.252474,21.709055,102.0,NN,4.624972813284271
tried,28.317741,-41.571793,627.0,VBD,6.440946540632921
trouble,36.776978,13.43228,293.0,NN,5.680172609017068
troubled,20.714828,-22.91281,135.0,JJ,4.90527477843843
true,18.219597,-3.4083133,725.0,JJ,6.586171654854675
truly,20.997263,-4.1487036,283.0,RB,5.645446897643238
trust,53.830177,-7.0978746,242.0,VB,5.488937726156687
truth,30.821066,-4.9424205,479.0,NN,6.171700597410915
try,50.08591,-13.083198,363.0,VB,5.8944028342648505
trying,31.127905,-21.986229,302.0,VBG,5.71042701737487
tunic,-44.85978,0.21167175,72.0,NN,4.276666119016055
tunnel,-24.622297,15.652201,57.0,NN,4.04305126783455
turn,61.35141,11.812347,595.0,VB,6.38856140554563
turned,-15.5256815,-49.364574,1352.0,VBD,7.20934025660291
turning,-24.080029,-17.079775,325.0,VBG,5.783825182329737
twice,-8.066022,48.266354,221.0,RB,5.3981627015177525
twisted,-25.593193,-44.056465,185.0,VBD,5.220355825078324
twisting,-28.147907,-13.627673,57.0,VBG,4.04305126783455
tyrion,15.98312,-19.887661,1828.0,NNP,7.510977752014095
ugly,5.5011663,-3.1654415,143.0,RB,4.962844630259907
uncle,23.291018,35.847294,440.0,NN,6.0867747269123065
uncles,15.829363,37.63782,59.0,JJ,4.07753744390572
understand,48.785233,-7.499699,361.0,VB,5.8888779583328805
understood,16.994532,-39.679783,140.0,VBD,4.941642422609304
unless,36.005352,-11.705347,257.0,IN,5.54907608489522
urged,-6.045773,-43.81681,171.0,VBD,5.14166355650266
use,46.984158,2.8419552,378.0,NN,5.934894195619588
used,27.77264,-40.82905,484.0,VBD,6.182084906716632
vanished,-19.703796,-27.776821,165.0,VBD,5.10594547390058
vast,-26.765121,8.2019005,127.0,JJ,4.844187086458591
velvet,-43.6337,-1.9396491,85.0,NN,4.442651256490317
victory,22.528288,17.91582,123.0,NN,4.812184355372417
village,-10.569567,19.950592,204.0,NN,5.318119993844216
visit,53.296665,5.847813,177.0,NN,5.176149732573829
voice,13.173772,19.234352,1294.0,NN,7.165493475060845
voices,-16.482851,35.076828,221.0,NNS,5.3981627015177525
vows,13.473791,36.68981,97.0,NNS,4.574710978503383
wagons,-16.520855,37.997486,64.0,NNS,4.1588830833596715
waist,-53.790356,9.759677,93.0,NN,4.532599493153256
wait,67.01515,4.6611333,367.0,VB,5.905361848054571
waited,-2.0964444,-48.530018,230.0,VBD,5.438079308923196
waiting,28.616425,-21.260403,355.0,VBG,5.872117789475416
wake,56.840916,4.4594746,179.0,VB,5.187385805840755
walk,64.31559,11.19684,424.0,VB,6.049733455231958
walked,-12.939594,-51.14145,456.0,VBD,6.1224928095143865
walking,-20.114561,-13.405409,205.0,VBG,5.3230099791384085
wall,-24.368551,18.914011,1166.0,NN,7.061334366910438
walls,-22.569332,26.323435,772.0,NNS,6.648984550024776
want,51.25932,-13.273717,1429.0,VBP,7.264730177929867
wanted,27.558237,-40.560577,761.0,VBD,6.634633357861686
wants,27.201881,-39.71043,213.0,VBZ,5.3612921657094255
war,4.331911,24.519516,698.0,NN,6.548219102762372
ward,-4.320804,25.03395,64.0,NN,4.1588830833596715
warm,-31.22404,-5.0336337,344.0,JJ,5.840641657373398
warmth,-13.50463,12.987852,91.0,NN,4.51085950651685
warned,17.200317,-49.62217,157.0,VBD,5.056245805348308
wash,58.95069,10.155309,129.0,VB,4.859812404361672
washed,-19.43893,-38.33993,142.0,VBD,4.955827057601261
wasnt,20.803377,-36.891285,252.0,VBZ,5.529429087511423
watch,61.07398,7.4605474,731.0,NNP,6.594413459749778
watched,-6.65765,-44.78926,400.0,VBD,5.991464547107982
watching,-2.2548232,-30.962011,241.0,VBG,5.484796933490655
water,-27.274178,22.709614,1198.0,NN,7.088408778675395
waters,-26.452951,24.935545,174.0,NNS,5.159055299214529
waved,-19.655443,-47.553833,113.0,VBD,4.727387818712341
way,9.7014065,32.377586,2655.0,NN,7.884199933676039
ways,-3.5473588,34.714054,163.0,NNS,5.093750200806762
weak,9.102805,-7.9938607,202.0,JJ,5.308267697401205
weapons,-15.766388,38.488243,93.0,NNS,4.532599493153256
wear,48.96095,0.93210626,146.0,VB,4.983606621708336
wearing,-41.698166,-5.944578,106.0,VBG,4.663439094112067
weary,9.45652,-9.495991,155.0,JJ,5.043425116919247
wed,46.28976,-18.90806,275.0,VB,5.616771097666572
wedding,6.361514,22.176582,232.0,NN,5.44673737166631
weight,-36.780033,13.854748,176.0,NN,5.170483995038151
weirwood,-29.319813,12.667838,70.0,NN,4.248495242049359
welcome,43.236927,-2.912963,171.0,JJ,5.14166355650266
wench,28.96961,25.944359,147.0,NN,4.990432586778736
went,-12.350816,-54.09407,2145.0,VBD,7.6708948313621175
wept,3.3966284,-43.420265,125.0,VBD,4.8283137373023015
west,-17.524393,21.206936,338.0,NN,5.823045895483019
wet,-33.047207,-5.43573,279.0,NN,5.631211781821365
whats,26.358633,7.4193897,231.0,NN,5.442417710521793
