term_str,0,1,2,3,4,5,6,7,8,9
command,-0.03668450678834487,-0.023563025569859234,-0.02157074480547227,-0.015872161872589538,-0.014883187531307043,-0.008635720478464613,-0.01133699938510056,0.0040231897131849355,-0.008611541334842394,0.0036284448535719906
wondered,-0.0265905881017779,0.020868392460601622,-0.004156926563215302,-0.0002570558232130383,-0.018171545401322414,-0.009658834893049136,-0.0009481292970060478,-0.009342520439695204,-0.014534730251453014,0.007528075355833588
able,0.009758968549091947,0.008601001668589379,-0.0072885027518179045,0.01766119543270938,-0.0008462836403524221,0.008926178468804141,0.0016430744193781975,-0.014258755243669064,-0.01401192275340773,-0.004176235946661912
hell,-0.000905793599081351,0.012894622470605216,-0.010813214089195592,-0.004338700734738763,-0.029630752041451332,-0.015157084549892097,0.08770221108098578,0.04246774848921144,0.014497669036857962,-0.009277602911214567
battle,-0.07723023374856004,-0.03615398081324037,-0.03853926077391154,-0.024005704714746036,-0.004750364579479206,0.01138030865154206,0.006718171921747808,0.006758429059180953,-0.03840507944764583,0.025530818626034384
means,0.01331716424351919,0.009370352726204663,-0.020961494382435265,0.00319270497127125,-0.017404558543886,0.01931571652916898,0.00454976787391786,0.00979020366016439,-0.005427332064319135,0.0047513600795005065
rising,-0.00025474915583284947,-0.025905528463644124,0.02100973512578348,-0.01026108133254249,-0.026767626258563028,-0.012437461421685957,-0.010329924294703263,-0.0028425797304561613,-0.006393390332255624,0.018876745931021784
steel,-0.0690859748149963,0.011448761916939837,0.011956025992425123,-0.042187360550855785,-0.001561544978179694,0.011930577818650225,0.017636606550077344,0.010384423593485691,0.010502077257832407,0.009912228409466265
dear,0.13934193894127067,0.03203038435349293,-0.05224110814014482,-0.10261833051202189,0.06548470571333907,0.16910323956376339,-0.049464864788991814,0.10438179187666376,-0.09505372350518158,0.011027201871224279
didnt,0.004845803661702963,0.04387257973412386,0.016959323032038266,-0.023529619349711664,-0.004970236583258738,0.015208411015907343,0.09115053631342213,0.022820235900235398,0.0018516125632300692,-0.046896826013850604
knows,-0.00033659619446247096,0.004836526419860241,-0.013967920480478617,0.003957121699791153,0.002624360830439499,-0.007789657243805443,0.005091028737096812,5.6764985420885517e-05,-0.018534876700798734,0.005881789597746819
beautiful,0.0024864763542316952,0.007166022608291952,-0.0287855391404141,0.015890414486010168,0.0033044378698942555,-0.016012799797766545,-0.028071547646069554,0.017882318163922755,0.04780648336220457,-0.011486734064887564
covered,-0.015237576772823978,0.01274450196733093,-0.00034463497440756036,0.016315178246243282,-0.015456551021001772,0.010172829957796633,0.004770231770676977,0.015990204417341287,0.022960004923504574,0.01399059627759778
road,0.01556465553326544,0.018422043143489882,0.096502317318211,0.050127680865695176,-0.11193297768822877,-0.05650257732612383,-0.05558319759733664,0.06204912926448265,-0.08668301843723533,-0.02355607251014582
started,-0.0020839893877134187,0.018374294543339394,0.008564837343951791,-0.005775398417064021,-0.012594479475719688,-0.0007251766525629332,0.02001533542465745,0.00037813023995295265,-0.006639337110934283,0.003927042946439136
fair,-0.0010965479293492326,-0.07360334230122441,0.001902824990740272,0.025017881195733508,-0.00582633503185245,-0.024204645188193114,-0.013277663747653124,0.015507548274723353,-0.0035283346708972806,-0.011477876448878788
scarcely,0.008783314721922503,0.01655944069239912,-0.027988028660606026,-0.008875798382237678,-0.01787527188427526,-0.024432240698947803,0.0016846372638702344,0.012142079735468726,0.006185378612419687,0.014235469634598598
earth,7.010180945364071e-05,-0.05724912946562787,0.020254448193026117,0.0067900204349149165,-0.023757566900556373,-0.02348878426531323,-0.0001316256376381218,0.0031962117457969216,0.012778709676731007,0.012879709231890185
sort,0.013774269404557098,0.017188306231736818,-0.012973599953034614,-0.0015415908290752243,-0.020256714026058206,-0.013819285409129328,-0.009079262591709939,-0.02772658199211436,-0.006936119424169049,0.002188583550009022
fine,0.006367249992189815,0.005403425230456972,-0.021531770732231618,0.03219604962288275,-0.01900558498574121,0.004425750909553093,0.008632651078329698,0.004848055881220079,0.02551372749610483,-0.001497070067081043
bit,-0.0005492651686511057,0.019835440197757976,0.009963001971781314,-0.003686273068421556,0.0018739046941915602,-0.0011147550430169444,0.01441721979469028,0.017826031938405217,0.004374066359347296,-0.02405649135552528
eat,-0.004522335134040403,0.010223263174614469,0.005799503657753354,0.04406096555902345,-0.006785481545318631,0.04989076834783933,0.025224017799443083,0.0011342610278319144,0.016813930615694733,0.021930143687247376
fallen,-0.010901555866063235,0.0028306373020854235,0.026309233305190846,0.01119519520289081,-0.013323324635027878,-0.0052862897801422126,0.004011558947966686,0.00763314889535184,-0.009244031773901438,0.008693340035541248
pointed,-0.01716480081223171,0.002057713513808384,-0.0008361957408843333,-0.01892975628554577,-0.006377399948297976,-0.0011004755094972726,0.0013381249036503355,0.012545525084485136,-0.008981594294395493,0.01240307921155958
guard,-0.027192991375674772,-0.005149229928879803,-0.007864725309617028,-0.011732731335729862,-0.010911908184363906,-0.009989050344651172,-0.00447840520687217,0.009657201054898864,-0.006750956090296479,0.006846720998795484
ready,0.02264562816596147,0.0003322967531487743,0.0025566570266748346,0.030108582103013568,0.001746537315925095,0.0015209404093060096,0.003987797675548018,0.013292422334866674,-0.017794578346171278,-0.00010984601612319136
fight,-0.046562808778274394,-0.10492524866648323,0.01609876144194877,-0.0562377692580997,0.01396817898478423,0.006021921406338883,0.05661746395300802,0.010150417725968842,-0.011248314292003138,0.0023942180553782025
sitting,0.0221120858114201,0.010111973858672171,0.00554160149485236,0.024030472318862517,-0.002286736374446825,-0.009410540170032445,0.00961592106261805,-0.0003688270444810267,-0.0059517997001909675,-0.009300977817116559
tongue,-0.019235686492538234,0.007379735032991823,0.0045495212749076235,0.009989443660804979,-0.026445601756282962,-0.004708926894725704,-0.013524689335818945,0.02125041183921753,0.05068128538410156,0.004870606429112386
comes,0.0021451555019904875,-0.004490608564406761,-0.008938258042892161,0.031077794553578765,0.017672959723828766,0.011029563613228745,-0.008529069631098549,0.016927630913118965,-0.024711236461337018,-0.0005904156122476896
appeared,0.03665633178259997,0.013471833654498444,-0.0012915935993788688,0.005869536484578818,-0.03904947991609318,0.010002692321162916,0.000426540394091078,0.011270662393200386,-0.0012096832875260703,-0.016448345174817327
food,-0.01883193658742693,0.009070762319718617,0.01817214794088199,0.008856354394355942,-0.01597405793967273,0.00021406048665856557,-0.0011523389815896001,0.016490716437132524,0.002700028093711012,-0.005876749062183459
forth,-0.0003063685118204834,-0.028302065412481113,0.0032724743491405746,-0.017575013456489534,-0.0015882828039875214,0.005931386499948144,-0.01141147791470657,0.029999899779327637,-0.01031580790249824,0.015372738085350307
